*** 유의어 - Synonyms (/course/634971/ebs-topik-ii-intermediateadvanced-vocabulary/1/)
코 묻은 돈	used to make fun of the pocket change kids carry around (어린아니가 가진 적은 돈)
코가 꿰이다	be restricted or hindered by something or someone (약점이 잡히다)
코가 빠지다	to lose one's nerve or spirit (근심에 싸여 기가 죽고 맥이 빠지다)
코가 납작해지다	be shamed by someone; lose one's nerve (매우 무안을 당하거나 기가 죽어 위신이 뚝 떨어지다)
코가 높다	to act proud (잘난 체하고 뽐내는 기세가 있다)
코가 비뚤어지게 [비뚤어지도록]	be very drunk (술에 매우 취하다)
코앞에 닥치다	be close at hand; be imminent (어떤 일에 시간이 얼마 남지 않다)
파김치가 되다	be extremely tired (매우 지치다)
피땀을 흘리다	work really hard (열심히 일하고 노력하며 지내다)
한솥밥을 먹다	live under the same roof (한 가족처럼 함께 생활하며 지내다)
한술 더 뜨다	outdo, sth gets even more bad (행동이나 말, 상황 등이 더 심해지다)
허리가 부러지다	work hard (힘들게 일하다)
허리가 휘다	working as hard as breaking one's back (생활고나 노동으로 힘겨운 상태가 되다)
허리띠를 졸라매다	living a simple life (1.검소한 생활을 하다 2.어떤 일을 이루려고 굳게 마음을 먹다)
허리를 굽히다	have a humble attitude (1.겸소한 태도를 취하다 2.굴복하다)
*** -INCOMPLETE- 의성어, 의태어 - onomatopoeia, mimetic word (/course/634971/ebs-topik-ii-intermediateadvanced-vocabulary/5/)
반짝반짝	glitteringly, brilliantly, dazzlingly
빙글빙글	turn[go] round and round
펄럭펄럭	flapping, with a flutter
홀짝홀짝	spinning around
스르륵	sound of light and smooth sliding
모락모락	sound of a smoke rising
보들보들	being soft, cuddly
미끌매끌	smooth, polished
따끈따끈	warm, heated
보글보글	bubbling, boiling
슬슬	slowly, leisurely
깡총깡총	hop, skip, jump up and down
흔들흔들	swinglingly, waveringly
울퉁불퉁	uneven, rugged, scraggy, jagged
울긋불긋	many-colored, picturesque
끄덕끄덕	nodding
옹기종기	in a small, close group; in a cluster
주렁주렁	in clusters, (grow) in full bearing
졸졸	murmuring, purling, babbling
쨍그랑	clink, clank
꽝	bang, boom, thud
빵	bam
쿵쿵	stamp, thump
똑똑똑	knock knock
딩딩딩	sound of bells
똑딱똑딱	tick tock
째깍째깍	sound of a clock
딩동	ding-dong
칙칙폭폭	sound of a train
삐걱	sound of a floor creaking
부릉부릉	sound of a car engine
삐뽀 삐뽀	siren wailing
똑똑	drip drop
지글지글	sizzle
*** -INCOMPLETE- 속담 - Proverbs (/course/634971/ebs-topik-ii-intermediateadvanced-vocabulary/6/)
*** 고객 센터 - Customer Center (/course/634971/ebs-topik-ii-intermediateadvanced-vocabulary/7/)
고장 신고	failure/damage report
기타 문의	more Questions
상담원 연결	cunnect to customer support
수리 센터 안내	repair enter information
요금 안내	payment information
이용 안내	operation information
가입하다	become a member
개통하다	activate, activation
설치하다	install
정지하다	stop, halt, suspend
해지하다	terminate, cancel (a contract)
고객 센터에 문의하다	inquire at the customer center
불만을 말하다	state/make a complaint
사용 설명을 문의하다	ask sb to explain how to use sth
상담원과 상담하다	consult with a customer service representative
상담원과 직접 통화를 원하다	want to speak directly with an agent
신제품을 안내하다	new product information
연락 가능한 연락처	contact address or number, where it is possible to be reached
재발급을 원하다	want a reissued item
직접 방문하다	visit personally
*** 공항	- Airport (/course/634971/ebs-topik-ii-intermediateadvanced-vocabulary/8/)
공항 터미널	airport terminal
국내선	domestic flight
국제선	international flight
기내 음식	airplane food
도착 시간	arrival time
면세점	duty free
세관	customs
여권	passport
여행 목적	travel purpose
왕복	round trip
출발 시간	departure time
탑승구	boarding gate
탑승권	boarding pass
편도	one-way trip
항공권	airline ticket
연착되다	delayed
이륙하다	take off
