,word,frequency
1356,최대,1157
1357,지적하다,756
1358,세미나,4182
1359,분위기,315
1360,나뭇잎,3557
1361,금액,3057
1362,세탁소,5390
1363,썩,4190
1364,스웨터,4432
1365,자연현상,4201
1366,안개,2950
1367,억울하다,2680
1368,전문,788
1369,정신없이,4203
1370,계란,4514
1371,일곱,5380
1372,소프트웨어,1019
1373,올리다,350
1374,정성,2469
1375,재활용품,4443
1376,어쩌다,3436
1377,전화번호,2999
1378,제자,1599
1379,들리다,674
1380,절대,3249
1381,지워지다,4801
1382,추위,2777
1383,가능하다,375
1384,뛰어내리다,4380
1385,그림자,1189
1386,걱정,884
1387,나타내다,445
1388,발전,3275
1389,넉,5421
1390,여쭈다,3889
1391,직선,3835
1392,다른,52
1393,참으로,1288
1394,판결,1208
1395,온종일,4939
1396,망하다,2508
1397,저축,3120
1398,손,125
1399,계산,1447
1400,할머니,405
1401,경우,38
1402,권위,1696
1403,기분,398
1404,인,2302
1405,소년,839
1406,정기,2771
1407,밤색,4766
1408,성숙하다,3424
1409,석유,2127
1410,강조하다,478
1411,중심,227
1412,밝혀지다,1066
1413,한번,282
1414,대통령,79
1415,저,4665
1416,몸무게,4575
1417,달려오다,2072
1418,관리,2122
1419,달리하다,3474
1420,사망,4026
1421,마침내,1192
1422,안전하다,2275
1423,적당히,2228
1424,급히,3508
1425,저녁때,4948
1426,시야,3627
1427,속옷,3739
1428,기술자,3141
1429,연주,4113
1430,원서,4487
1431,자,4871
1432,나무,408
1433,섭섭하다,3484
1434,일등,4794
1435,자연환경,2624
1436,긴장되다,4975
1437,카메라,1827
1438,그때그때,4320
1439,애정,2462
1440,거기,213
1441,볶음밥,4770
1442,치아,3647
1443,오븐,4938
1444,외부,1357
1445,기후,1913
1446,효율적,3049
1447,신비,3809
1448,말기,2506
1449,올림픽,1128
1450,제의,2772
1451,부러워하다,4024
1452,탁,3916
1453,담당,1620
1454,개별,3306
1455,단풍,5320
1456,너머,1766
1457,놓아두다,4377
1458,한마디,621
1459,올,3383
1460,첫,510
1461,영향,339
1462,전해지다,1823
1463,술병,4651
1464,어떠하다,658
1465,번지,5087
1466,피,1434
1467,양말,3816
1468,연구자,1846
1469,간신히,3133
1470,시간,416
1471,오랜,978
1472,똑같다,1078
1473,마주치다,2932
1474,판단,895
1475,사회학,4428
1476,넓다,483
1477,모집하다,4764
1478,일손,4285
1479,맞추다,532
1480,발레,2902
1481,친척,1960
1482,품질,2190
1483,이틀,1930
1484,반죽,4248
1485,반기다,4841
1486,달려가다,1431
1487,바이러스,4382
1488,박물관,1200
1489,신발,1737
1490,옆,329
1491,모르다,32
1492,감각,971
1493,벗다,864
1494,한계,778
1495,곰,3507
1496,함부로,2207
1497,강수량,4000
1498,생활하다,2036
1499,남부,1838
1500,인격,2134
1501,맡다,3368
1502,믿어지다,4247
1503,매력,1918
1504,부품,2755
1505,죽다,4358
1506,해당,2448
1507,머리카락,3099
1508,어둡다,1165
1509,범인,2402
1510,실천하다,1496
1511,이곳저곳,5030
1512,개방하다,2965
1513,확인,2236
1514,부자,2511
1515,내적,4689
1516,탄생,3082
1517,시기,3160
1518,대비,3668
